capability,strength,client_segment,india_presence,notes
Green Project Finance,4,Infrastructure,Yes,Core product — project finance team
Development Loan,3,Infrastructure,Yes,Deal origination capability
Green Bond,3,Corporate,Yes,DCM capability for green bond structuring
SLL,4,Corporate,Yes,Sustainability-linked loan structuring
Blended Finance,2,Infrastructure,Limited,Partnership with DFIs; limited own balance sheet
DFI Co-lending,2,Infrastructure,Limited,Selective co-lending arrangements
SLL Refinancing,3,Corporate,Yes,Refinancing of existing SLL portfolios
Transition Bond,2,Corporate,Limited,Early capability; growing
Sustainability Bond,3,Corporate,Yes,DCM; sustainability bond frameworks
Working Capital Facility,3,Corporate,Yes,Standard corporate banking
Revolving Credit Facility,3,Corporate,Yes,Standard corporate banking
Term Loan,4,Corporate,Yes,Core corporate lending
Equity Bridge,2,Infrastructure,Limited,Bridge financing for equity injections
