source_id,bank,publication_title,publication_date,url,verified_points
SC1,Standard Chartered,Bespoke sustainable finance solutions,not verified,https://www.sc.com/en/about/sustainability/bespoke-sustainable-finance-solutions/,"Over 40 sustainable finance products; frameworks for transition finance, green and sustainable products, and sustainability bonds; USD157bn mobilised from Jan 2021 to Sept 2025 against a USD300bn target."
SC2,Standard Chartered,Climate change,not verified,https://www.sc.com/en/about/sustainability/position-statements/climate-change/,"Bank states it offers sustainability-linked financing solutions, ESG-linked derivatives, sustainable deposits, financial institutional trade loans, and complex project financing including grid upgrades and renewable infrastructure."
SC3,Standard Chartered,India’s energy transition: what corporates say,2026-02-11,https://www.sc.com/en/news/corporate-investment-banking/indias-energy-transition-what-corporates-say/,"Survey of 40 Indian corporates; 86 percent expect to use sustainable finance solutions in future; green and sustainability-linked bonds and loans identified as the most relevant instruments; interest in carbon credits expected to rise."
SC4,Standard Chartered,Sustainable trade financing,not verified,https://www.sc.com/en/corporate-investment-banking/transaction-banking/sustainable-trade-financing/,"Standard Chartered positions sustainable trade finance as a sustainability-linked financing solution across trade and working-capital products; includes sustainable trade loans for financial institutions."
SC5,Standard Chartered,Apraava Energy secures USD 92 million from British International Investment,2025-12-03,https://www.sc.com/in/news-media/apraava-energy-investment/,"Verified India transaction combining Standard Chartered and BII funding for advanced metering infrastructure linked to India’s energy transition."
SC6,Standard Chartered,Annual Report 2025,2026-03-31,https://www.sc.com/en/uploads/sites/66/content/docs/standard-chartered-plc-2025-annual-report.pdf,"USD157bn sustainable finance mobilised from January 2021 to September 2025; USD300bn aspiration by 2030; sustainable finance includes bonds, loans, advisory and trade finance products."
DB1,Deutsche Bank,Sustainable & Transition Finance,not verified,https://www.db.com/what-we-do/responsibility/sustainability/sustainable-finance?kid=sustainability-finance.redirect-en.shortcut&language_id=1,"Deutsche Bank shows a cumulative EUR900bn sustainable and transition finance target through year-end 2030 and EUR471bn achieved since January 2020 by Q4 2025."
DB2,Deutsche Bank,Deutsche Bank sets new 2030 sustainable and transition finance target and publishes its initial Transition Finance Framework,2025-11-17,https://www.db.com/news/detail/20251117-deutsche-bank-sets-new-2030-sustainable-and-transition-finance-target-and-publishes-its-initial-transition-finance-framework?language_id=1,"Transition Finance Framework is positioned for hard-to-abate sectors; the updated 2030 cumulative target is EUR900bn."
DB3,Deutsche Bank,India’s path to net zero,not verified,https://flow.db.com/more/esg/india-s-path-to-net-zero?language_id=1,"India transition context from Deutsche Bank; highlights rising electricity demand, non-fossil capacity targets, and the scale of investment challenge."
DB4,Deutsche Bank,Project finance explained,2025-07-16,https://flow.db.com/Topics/trade-finance/project-finance-explained?language_id=1,"Defines project finance as cash-flow-based non-recourse or limited-recourse funding via an SPV; explains why it suits capital-intensive infrastructure and renewable assets."
DB5,Deutsche Bank,REC: financing India’s renewable energy strategy (2),2025-01-15,https://flow.db.com/case-studies/rec-financing-indias-renewable-energy-strategy-2,"Describes India renewable financing mix spanning public sector banks, private banks, NBFIs, DFIs, green bonds, YieldCos, project finance, AR facilities, LCs and ECB loans."
DB6,Deutsche Bank,REC: supporting India’s renewable energy strategy (1),2025-01-15,https://flow.db.com/case-studies/rec-supporting-india-s-renewable-energy-strategy-1,"Highlights grid stability and storage needs as renewable penetration rises and notes capital intensity of renewable project development."
UBS1,UBS,Sustainability at UBS,not verified,https://www.ubs.com/climate,"UBS says it partners with clients to mobilize capital toward a more sustainable world and frames sustainability through Protect, Grow and Attract strategic pillars."
UBS2,UBS,Our offering,not verified,https://www.ubs.com/global/en/sustainability-impact/our-offering.html,"UBS describes sustainability capabilities across institutional investors, corporates and private clients; Investment Bank focuses on advice and capital-markets support for the low-carbon transition."
